Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,Industry_Group
"228","JSWDULUX","JSW Dulux Ltd","3291.80","60.90","1.88","52","68","64","B+","94","Chemicals-Paints        ",
"229","BALRAMCHIN","Balrampur Chini Mls(Nse)","531.60","-22.55","-4.07","51","49","64","B-","102","Food-Packaged           ",
"230","TORNTPOWER","Torrent Power","1438.40","-10.20","-0.70","54","57","63","C","23","Utility-Electric Power  ",
"231","ANURAS","Anupam Rasayan India","1277.10","-10.20","-0.79","65","47","63","B","44","Chemicals-Specialty     ",
"232","CIEINDIA","CIE Automotive India Ltd","464.00","7.70","1.69","60","81","63","B-","49","Auto/Truck-Original Eqp ",
"233","NH","Narayana Hrudayalaya","1878.70","9.70","0.52","57","68","63","C+","56","Medical-Hospitals       ",
"234","NAVA","Nava","621.55","14.25","2.35","54","46","63","B-","57","Diversified Operations  ",
"235","MGL","Mahanagar Gas","1209.00","-1.70","-0.14","49","42","63","A","59","Utility-Gas Distribution",
"236","HDFCAMC","Hdfc Asset Mgmt","2719.00","-9.20","-0.34","63","72","63","B-","68","Finance-Investment Mgmt ",
"237","DMART","Avenue Supermarts","4286.90","-19.80","-0.46","54","78","63","B+","83","Retail-Super/Mini Mkts  ",
"238","BLUEJET","Blue Jet Healthcare Ltd","512.60","1.70","0.33","47","16","63","A-","98","Medical-Whlsle Drg/Suppl",
"239","ITI","Iti","312.45","1.30","0.42","64","50","63","A+","99","Telecom-Consumer Prods  ",
"240","BAJFINANCE","Bajaj Finance","961.80","2.95","0.31","56","81","63","B-","111","Finance-Consumer Loans  ",
"241","BANKBARODA","Bank Of Baroda","281.05","-1.95","-0.69","56","76","63","B+","121","Banks-Money Center      ",
"242","PETRONET","Petronet L N G (Nse)","288.70","0.45","0.16","55","59","63","B-","129","Oil&Gas-Refining/Mktg   ",
"243","HEG","Heg (Nse)","531.85","-6.80","-1.26","57","37","61","A+","11","Electrical-Power/Equipmt",
"244","JPPOWER","Jaiprakash Pwr. (Nse) Vent.","18.06","-0.10","-0.55","30","7","61","B","21","Energy-Alternative/Other",
"245","NTPC","NTPC Ltd","365.80","3.85","1.06","63","77","61","D+","23","Utility-Electric Power  ",
"246","CESC","CESC","168.90","-1.79","-1.05","60","58","61","A-","23","Utility-Electric Power  ",
"247","INDGN","Indegene Ltd","532.40","13.80","2.66","48","57","61","B","46","Medical-Biomed/Biotech  ",
"248","3MINDIA","3m India (Nse)","33125.00","-125.00","-0.38","61","71","61","B+","57","Diversified Operations  ",
"249","TATAINVEST","Tata Investment Corporation Ltd","690.20","-4.70","-0.68","66","92","61","A+","68","Finance-Investment Mgmt ",
"250","360ONE","360 One Wam","1145.10","3.80","0.33","59","77","61","B+","68","Finance-Investment Mgmt ",
"251","HOMEFIRST","Home First Finance Company India","1153.90","7.80","0.68","56","89","61","B+","111","Finance-Consumer Loans  ",
"252","HUDCO","Housing And Urban Development Corporation","208.65","-2.90","-1.37","63","84","61","A-","111","Finance-Consumer Loans  ",
"253","CANBK","Canara Bank","133.74","-1.23","-0.91","50","84","61","B-","121","Banks-Money Center      ",
"254","INDHOTEL","Indian Hotels","724.75","14.30","2.01","54","89","61","C","126","Leisure-Lodging         ",
"255","SARDAEN","Sarda Energy & Minerals","523.65","4.10","0.79","59","70","59","B-","33","Steel-Producers         ",
"256","ENDURANCE","Endurance Technologies","2622.40","-0.90","-0.03","61","74","59","B+","49","Auto/Truck-Original Eqp ",
"257","BEL","Bharat Electronics","426.90","-1.70","-0.40","62","82","59","B-","63","Aerospace/Defense       ",
"258","IGIL","International Gemological Institute Ltd","355.75","0.05","0.01","63","66","59","B+","81","Comml Svcs-Consulting   ",
"259","OBEROIRLTY","Oberoi Realty","1683.50","-10.70","-0.63","65","83","59","A","82","Real Estate Dvlpmt/Ops  ",
"260","LICI","Life Insurance Corporation","440.15","10.15","2.36","57","88","59","A+","105","Insurance-Diversified   ",
"261","PWL","Physicswallah Ltd","122.61","7.59","6.60","41","29","59","B+","107","Consumer Svcs-Education ",
"262","APTUS","Aptus Value Housing Finance India","269.75","-3.00","-1.10","51","87","59","A-","111","Finance-Consumer Loans  ",
"263","INDIGO","Interglobe Aviation","5021.50","9.70","0.19","41","8","59","A-","115","Transportation-Airline  ",
"264","CHOICEIN","Choice International","726.10","18.55","2.62","54","93","59","A+","134","Finance-Invest Bnk/Bkrs ",
"265","ASHOKLEY","Ashok Leyland","156.66","-1.79","-1.13","53","84","59","B-","138","Auto Manufacturers      ",
"266","MEESHO","Meesho Ltd","173.56","2.84","1.66","47","16","59","A-","139","Retail-Mail Order&Direct",
"267","DEEPAKNTR","Deepak Nitrite","1644.40","-13.80","-0.83","48","44","57","B+","44","Chemicals-Specialty     ",
"268","MAXHEALTH","Max Healthcare Institute","1094.75","4.30","0.39","59","78","57","C+","56","Medical-Hospitals       ",
"269","HAL","Hindustan Aeronautics","4408.10","-3.40","-0.08","55","79","57","B-","63","Aerospace/Defense       ",
"270","LICHSGFIN","Lic Housing Finance(Nse)","549.90","-0.25","-0.05","53","69","57","B-","111","Finance-Consumer Loans  ",
"271","TVSMOTOR","T V S Motor","3442.90","-14.70","-0.43","59","90","57","B-","138","Auto Manufacturers      ",
"272","MFSL","Max Financial Services Ltd","1669.30","-18.90","-1.12","49","16","57","B","158","Insurance-Life          ",
"273","TARIL","Transformers And Rtf. (India)","357.55","32.70","10.07","53","84","55","A+","11","Electrical-Power/Equipmt",
"274","TATAPOWER","Tata Power","402.35","-0.55","-0.14","57","57","55","B+","23","Utility-Electric Power  ",
"275","POWERGRID","Power Grid Corp.Of India","292.25","3.55","1.23","56","56","55","D","23","Utility-Electric Power  ",
"276","APLAPOLLO","Apl Apollo Tubes","1871.60","10.70","0.57","59","78","55","C","33","Steel-Producers         ",
"277","ATUL","Atul (Nse)","6482.00","-18.00","-0.28","62","68","55","B-","44","Chemicals-Specialty     ",
"278","ASAHIINDIA","Asahi India Glass","846.35","-14.95","-1.74","49","54","55","B-","49","Auto/Truck-Original Eqp ",
"279","ALKEM","Alkem Laboratories","5373.50","1.50","0.03","48","47","55","B-","67","Medical-Diversified     ",
"280","LGEINDIA","Lg Electronics India Ltd","1647.80","40.20","2.50","63","62","55","A-","78","Consumer Prod-Electronic",
"281","PRESTIGE","Prestige Estates Prjs.","1497.30","-30.40","-1.99","60","82","55","B+","82","Real Estate Dvlpmt/Ops  ",
"282","ACE","Action Construction Equ.","975.65","-0.80","-0.08","53","77","55","B+","95","Machinery-Constr/Mining ",
"283","TEGA","Tega Industries","1794.90","-24.80","-1.36","46","33","55","B+","95","Machinery-Constr/Mining ",
"284","CHAMBLFERT","Chambal Fert.&Chems.","484.20","2.15","0.45","54","59","55","B+","128","Chemicals-Agricultural  ",
"285","HINDPETRO","Hindustan Ptl. (Nse)","392.10","-9.50","-2.37","62","57","55","B","129","Oil&Gas-Refining/Mktg   ",
"286","FORCEMOT","Force Motors","18637.00","-25.00","-0.13","48","92","55","B-","138","Auto Manufacturers      ",
"287","INDIACEM","India Cements (Nse)","374.85","-8.85","-2.31","59","38","55","C-","140","Bldg-Cement/Concrt/Ag   ",
"288","COFORGE","Coforge","1463.30","-19.70","-1.33","60","86","55","B+","177","Computer-Tech Services  ",
"289","INDUSTOWER","Indus Towers","411.20","-3.10","-0.75","57","41","53","D-","38","Telecom-Infrastructure  ",
"290","PCBL","PCBL Chemical Limited","309.50","3.25","1.06","44","19","53","A+","44","Chemicals-Specialty     ",
"291","PAYTM","One 97 Communications","1090.10","-3.80","-0.35","67","62","53","D+","47","Financial Svcs-Specialty",
"292","TATACONSUM","Tata Consumer Products","1111.50","0.10","0.01","57","79","53","C+","65","Beverages-Non-Alcoholic ",
"293","SOBHA","Sobha","1418.90","-8.00","-0.56","62","48","53","B","82","Real Estate Dvlpmt/Ops  ",
"294","ICICIBANK","Icici Bank","1346.50","4.20","0.31","52","73","53","B","121","Banks-Money Center      ",
"295","SUMICHEM","Sumitomo Chemical India","452.70","0.35","0.08","47","54","53","A-","128","Chemicals-Agricultural  ",
"296","AIIL","Authum Invs & Infra","543.80","-7.75","-1.41","43","41","53","B-","134","Finance-Invest Bnk/Bkrs ",
"297","TMPV","Tata Motors Passenger Vehicles Ltd","359.50","-5.15","-1.41","44","50","53","B-","138","Auto Manufacturers      ",
"298","JSWCEMENT","Jsw Cement Ltd","128.66","-2.06","-1.58","58","62","53","B-","140","Bldg-Cement/Concrt/Ag   ",
"299","ETERNAL","Eternal Limited","264.30","5.75","2.22","61","73","53","B+","154","Retail-Internet         ",
"300","RECLTD","REC","355.35","-3.35","-0.93","54","56","52","B-","47","Financial Svcs-Specialty",
"301","JAINREC","Jain Resource Recycling Ltd","376.80","5.65","1.52","44","93","52","B","50","Steel-Specialty Alloys  ",
"302","ASTRAL","Astral","1542.10","-23.60","-1.51","55","54","52","B","62","Bldg-Constr Prds/Misc   ",
"303","ANANTRAJ","Anant Raj","520.20","-8.55","-1.62","55","92","52","B","82","Real Estate Dvlpmt/Ops  ",
"304","IRB","Irb Infrastructure Developers","21.44","0.02","0.09","43","66","52","B-","91","Bldg-Heavy Construction ",
"305","MUTHOOTFIN","Muthoot Finance","3126.10","-56.30","-1.77","62","90","52","C-","111","Finance-Consumer Loans  ",
"306","POONAWALLA","Poonawalla Fincorp","426.70","22.20","5.49","66","77","52","A-","111","Finance-Consumer Loans  ",
"307","GICRE","General Insurance Corp Of India","368.70","11.60","3.25","50","72","52","B","114","Insurance-Prop/Cas/Titl ",
"308","VOLTAS","Voltas (Nse)","1343.40","-14.20","-1.05","48","22","52","B-","120","Hsehold-Appliances/Wares",
"309","CROMPTON","Crmptn.Greaves Csm.Elec","275.25","-1.85","-0.67","42","12","52","A+","120","Hsehold-Appliances/Wares",
"310","UCOBANK","Uco Bank (Nse)","27.58","-0.41","-1.46","38","83","52","B","121","Banks-Money Center      ",
"311","KOTAKBANK","Kotak Mahindra Bank(Nse)","399.25","-3.70","-0.92","52","68","52","C+","121","Banks-Money Center      ",
"312","FACT","Fert.& Chems.Travancore","884.85","-68.60","-7.19","39","8","52","B","128","Chemicals-Agricultural  ",
"313","MRPL","Mngl.Ref.& Petrochem.","154.19","-4.88","-3.07","39","32","52","A","129","Oil&Gas-Refining/Mktg   ",
"314","ICICIGI","Icici Lombard General Ins Co","1870.10","31.10","1.69","49","65","52","B-","130","Insurance-Brokers       ",
"315","JKCEMENT","Jk Cement","5503.50","-36.50","-0.66","45","47","52","B+","140","Bldg-Cement/Concrt/Ag   ",
"316","ERIS","Eris Lifesciences","1448.40","17.80","1.24","56","81","49","B","46","Medical-Biomed/Biotech  ",
"317","JUBLINGREA","Jubilant Ingrevia","637.65","-8.35","-1.29","52","36","49","C-","57","Diversified Operations  ",
"318","WAAREEENER","Waaree Energies Ltd","3125.40","59.50","1.94","65","98","49","B+","58","Energy-Solar            ",
"319","JUBLPHARMA","Jubilant Pharmova","966.35","-7.10","-0.73","40","15","49","B","67","Medical-Diversified     ",
"320","SBFC","Sbfc Finance Ltd","95.40","3.45","3.75","51","92","49","A","84","Finance-Commercial Loans",
"321","ONGC","Oil & Natural Gas","246.25","0.95","0.39","58","71","49","C-","92","Oil&Gas-Intl Expl&Prod  ",
"322","HDBFS","Hdb Financial Services Ltd","717.40","21.95","3.16","55","86","49","B+","111","Finance-Consumer Loans  ",
"323","DIXON","Dixon Technologies (India)","12517.00","-149.00","-1.18","52","86","49","A","120","Hsehold-Appliances/Wares",
"324","BHARTIARTL","Bharti Airtel","1910.80","36.00","1.92","47","60","49","B-","123","Telecom Svcs-Wireless   ",
"325","ULTRACEMCO","Ultratech Cement","11367.00","-63.00","-0.55","54","65","49","D-","140","Bldg-Cement/Concrt/Ag   ",
"326","JKTYRE","J K Tyre & Inds.","401.30","4.05","1.02","61","87","49","B+","147","Auto/Truck-Tires & Misc ",
"327","SRF","SRF Ltd (Nse)","2709.80","6.80","0.25","52","56","47","B-","44","Chemicals-Specialty     ",
"328","CONCORDBIO","Concord Biotech Ltd","1315.10","-32.40","-2.40","48","45","47","A","46","Medical-Biomed/Biotech  ",
"329","CDSL","Central Depository Services (India)","1370.30","19.90","1.47","48","57","47","B+","47","Financial Svcs-Specialty",
"330","RAILTEL","Railtel Corporation Of India","319.40","-3.30","-1.02","46","71","47","A+","64","Telecom Svcs-Integrated ",
"331","DRREDDY","Dr. Reddy's Laboratories","1272.10","4.60","0.36","53","46","47","B","67","Medical-Diversified     ",
"332","PGEL","Pg Electroplast","560.50","-3.75","-0.66","51","73","47","A","76","Chemicals-Plastics      ",
"333","BEML","Beml","1749.30","-24.10","-1.36","44","42","47","C+","95","Machinery-Constr/Mining ",
"334","HINDUNILVR","Hindustan Unilever","2194.60","-23.90","-1.08","47","79","47","B-","118","Cosmetics/Personal Care ",
"335","IOB","Indian Overseas Bank","35.09","-0.14","-0.40","43","94","47","B-","121","Banks-Money Center      ",
"336","IDBI","Idbi Bank","82.98","-1.64","-1.94","42","79","47","B-","121","Banks-Money Center      ",
"337","PARADEEP","Paradeep Phosphates","136.22","1.97","1.47","44","37","47","A","128","Chemicals-Agricultural  ",
"338","BPCL","Bharat Petroleum","306.60","-9.70","-3.07","53","73","47","C+","129","Oil&Gas-Refining/Mktg   ",
"339","POLYMED","Poly Medicure","1563.30","-9.90","-0.63","40","55","47","B+","131","Medical-Systems/Equip   ",
"340","BALKRISIND","Balkrishna Industries","2243.70","9.50","0.43","42","40","47","B-","147","Auto/Truck-Tires & Misc ",
"341","SONATSOFTW","Sonata Software","297.40","-11.60","-3.75","48","56","47","C+","177","Computer-Tech Services  ",
"342","UNOMINDA","UNO Minda","1115.60","17.70","1.61","54","88","45","B","49","Auto/Truck-Original Eqp ",
"343","ARE&M","Amara Raja Energy & Mob Ltd","844.65","-7.05","-0.83","55","65","45","B+","49","Auto/Truck-Original Eqp ",
"344","NATCOPHARM","Natco Pharma","889.00","5.50","0.62","46","72","45","C-","67","Medical-Diversified     ",
"345","MAZDOCK","Mazagon Dock Shipbuilders","2518.70","-15.20","-0.60","58","93","45","B-","69","Transportation-Equip Mfg",
"346","TRIDENT","Trident","25.93","-0.04","-0.15","30","25","45","B","71","Apparel-Clothing Mfg    ",
"347","VMM","Vishal Mega Mart Ltd","118.66","0.79","0.67","53","90","45","B-","83","Retail-Super/Mini Mkts  ",
"348","UNITDSPR","United Spirits","1320.50","-29.80","-2.21","51","83","45","B+","117","Beverages-Alcoholic     ",
"349","PNB","Punjab National Bank","108.77","-0.81","-0.74","47","84","45","C-","121","Banks-Money Center      ",
"350","IOC","Indian Oil Corporation","143.43","-2.68","-1.83","63","81","45","B","129","Oil&Gas-Refining/Mktg   ",
"351","MARUTI","Maruti Suzuki India","13395.00","-89.00","-0.66","47","74","45","B-","138","Auto Manufacturers      ",
"352","TATACHEM","Tata Chemicals","729.15","-3.50","-0.48","41","2","43","A","44","Chemicals-Specialty     ",
"353","CIPLA","Cipla","1351.80","-3.70","-0.27","42","42","43","C-","60","Medical-Generic Drugs   ",
"354","TTML","Tata Tele Svs. (Nse) Maharastra","44.19","-0.70","-1.56","45","51","43","A","64","Telecom Svcs-Integrated ",
"355","PPLPHARMA","Piramal Pharma","158.90","-1.30","-0.81","42","5","43","B","67","Medical-Diversified     ",
"356","BAJAJHLDNG","Bajaj Holdings & Invs.","10677.00","1.00","0.01","53","93","43","B","68","Finance-Investment Mgmt ",
"357","ONESOURCE","Onesource Specialty Pharma Ltd","1608.60","-42.60","-2.58","47","11","43","B","98","Medical-Whlsle Drg/Suppl",
"358","POLICYBZR","Pb Fintech","1636.70","19.00","1.17","60","59","43","C-","105","Insurance-Diversified   ",
"359","M&MFIN","Maha.& Maha.Finl.Svs.","294.10","-1.95","-0.66","57","68","43","B+","111","Finance-Consumer Loans  ",
"360","CHALET","Chalet Hotels","802.35","25.70","3.31","47","89","43","A+","126","Leisure-Lodging         ",
"361","CASTROLIND","Castrol India","185.80","1.23","0.67","42","52","43","C+","129","Oil&Gas-Refining/Mktg   ",
"362","BLUESTARCO","Blue Star","1668.30","-38.00","-2.23","50","77","43","C-","133","Bldg-A/C & Heating Prds ",
"363","HEROMOTOCO","Hero Motocorp","4974.90","-46.70","-0.93","50","79","43","B-","138","Auto Manufacturers      ",
"364","SHREECEM","Shree Cement","25075.00","-335.00","-1.32","42","45","43","D","140","Bldg-Cement/Concrt/Ag   ",
"365","URBANCO","Urban Co. Ltd","130.15","-1.19","-0.91","30","2","43","C","144","Comml Svcs-Outsourcing  ",
"366","CEATLTD","Ceat","3450.00","-36.70","-1.05","59","90","43","B+","147","Auto/Truck-Tires & Misc ",
"367","NHPC","Nhpc","75.82","-0.12","-0.16","56","61","41","B","21","Energy-Alternative/Other",
"368","NTPCGREEN","Ntpc Green Energy Ltd","96.04","0.20","0.21","44","14","41","B","21","Energy-Alternative/Other",
"369","JSL","Jindal Stainless","696.70","-10.30","-1.46","52","73","41","D-","33","Steel-Producers         ",
"370","JWL","Jupiter Wagons","277.30","-2.20","-0.79","42","49","41","B+","49","Auto/Truck-Original Eqp ",
"371","BDL","Bharat Dynamics","1373.40","61.60","4.70","43","34","41","B+","63","Aerospace/Defense       ",
"372","GODREJPROP","Godrej Properties","1795.90","-14.30","-0.79","60","91","41","B","82","Real Estate Dvlpmt/Ops  ",
"373","DLF","Dlf (Nse)","624.50","-16.20","-2.53","49","79","41","A-","82","Real Estate Dvlpmt/Ops  ",
"374","OIL","Oil India","418.15","-2.45","-0.58","58","61","41","C-","92","Oil&Gas-Intl Expl&Prod  ",
"375","BIKAJI","Bikaji Foods International","660.20","0.35","0.05","46","90","41","B","102","Food-Packaged           ",
"376","SUNDARMFIN","Sundaram Finance","4475.50","65.90","1.49","43","68","41","C+","111","Finance-Consumer Loans  ",
"377","COLPAL","Colgate-Palmolive India","1997.80","-29.50","-1.46","43","52","41","D-","118","Cosmetics/Personal Care ",
"378","RITES","Rites","213.32","1.14","0.54","42","44","41","B","144","Comml Svcs-Outsourcing  ",
"379","SBILIFE","Sbi Life Insurance Co","1800.20","-7.40","-0.41","46","61","41","E","158","Insurance-Life          ",
"380","PVRINOX","Pvr Inox","948.90","-7.80","-0.82","60","67","38","C+","72","Leisure-Movies & Related",
"381","CONCOR","Container Corp.Of India","471.75","4.60","0.98","46","50","38","C+","75","Transportation-Logistics",
"382","CHOLAHLDNG","Cholamandalam Financial Holdings","1583.90","-5.40","-0.34","44","85","38","C","111","Finance-Consumer Loans  ",
"383","EIHOTEL","Eih","321.85","5.35","1.69","36","71","38","A-","126","Leisure-Lodging         ",
"384","ITCHOTELS","Itc Hotels Ltd","170.92","9.79","6.08","43","58","38","B+","126","Leisure-Lodging         ",
"385","COROMANDEL","Coromandel International","2015.20","-53.00","-2.56","43","39","38","B-","128","Chemicals-Agricultural  ",
"386","BAJAJFINSV","Bajaj Finserv","1769.40","-2.30","-0.13","39","68","38","B","130","Insurance-Brokers       ",
"387","IREDA","Indian Renewable Energy Development Agency Ltd","127.15","-0.81","-0.63","42","51","38","B-","134","Finance-Invest Bnk/Bkrs ",
"388","M&M","Mahindra & Mahindra","3074.80","-61.70","-1.97","50","89","38","B","138","Auto Manufacturers      ",
"389","APOLLOTYRE","Apollo Tyres (Nse)","425.50","-2.50","-0.58","59","89","38","A","147","Auto/Truck-Tires & Misc ",
"390","INDIAMART","Indiamart Intermesh","2089.40","-48.30","-2.26","42","57","38","C","154","Retail-Internet         ",
"391","DCMSHRIRAM","Dcm Shriram Cons. (Nse)","1053.70","13.80","1.33","53","52","36","D+","44","Chemicals-Specialty     ",
"392","LTFOODS","L T Foods","383.00","-3.45","-0.89","48","66","36","B-","73","Food-Misc Preparation   ",
"393","NCC","Ncc","155.84","0.86","0.55","43","48","36","B-","91","Bldg-Heavy Construction ",
"394","NUVOCO","Nuvoco Vistas Corporation","312.75","0.80","0.26","49","34","36","A-","140","Bldg-Cement/Concrt/Ag   ",
"395","MRF","Mrf","128645.00","-1440.00","-1.11","58","86","36","D+","147","Auto/Truck-Tires & Misc ",
"396","DOMS","Doms Industries Ltd","2274.10","-63.20","-2.70","49","87","36","B","165","Consumer Prod-Specialty ",
"397","TECHM","Tech Mahindra","1409.60","-38.10","-2.63","48","49","36","B-","177","Computer-Tech Services  ",
"398","SJVN","Satluj Jal Vidyut Nigam","72.88","-1.33","-1.79","43","49","35","B-","21","Energy-Alternative/Other",
"399","IEX","Indian Energy Exchange","122.78","-0.78","-0.63","46","71","35","C-","47","Financial Svcs-Specialty",
"400","IGL","Indraprastha Gas","167.60","-2.39","-1.41","43","51","35","A","59","Utility-Gas Distribution",
"401","ABBOTINDIA","Abbott India","26215.00","70.00","0.27","44","72","35","B-","67","Medical-Diversified     ",
"402","BAJAJHFL","Bajaj Housing Finance Ltd","88.36","2.49","2.90","45","86","35","A","125","Finance-Mrtg&Rel Svc    ",
"403","UPL","UPL","608.65","-2.15","-0.35","45","24","35","D-","128","Chemicals-Agricultural  ",
"404","AFFLE","Affle 3l Ltd","1463.70","-25.70","-1.73","46","82","35","A-","135","Comml Svcs-Advertising  ",
"405","SAGILITY","Sagility Limited","39.49","-0.34","-0.85","36","95","35","B-","144","Comml Svcs-Outsourcing  ",
"406","MSUMI","Motherson Sumi Wiring India","38.03","0.28","0.74","30","50","35","B-","146","Auto/Truck-Replace Parts",
"407","GODFRYPHLP","Godfrey Phillips India","2271.00","-0.20","-0.01","57","90","35","A-","167","Tobacco                 ",
"408","JMFINANCIL","J M Financial (Nse)","126.32","1.01","0.81","46","50","32","B+","68","Finance-Investment Mgmt ",
"409","COCHINSHIP","Cochin Shipyard","1458.00","-11.60","-0.79","39","44","32","B","69","Transportation-Equip Mfg",
"410","BLUEDART","Blue Dart Express","4968.80","98.40","2.02","43","33","32","B-","75","Transportation-Logistics",
"411","IRCON","Ircon International Limited","137.19","-1.99","-1.43","45","52","32","A-","91","Bldg-Heavy Construction ",
"412","CENTRALBK","Central Bank Of India","32.84","-0.26","-0.79","29","82","32","B-","121","Banks-Money Center      ",
"413","HYUNDAI","Hyundai Motor India Ltd","1973.20","-3.40","-0.17","42","60","32","B+","138","Auto Manufacturers      ",
"414","CRISIL","Crisil","4132.00","10.60","0.26","47","84","32","B","157","Comml Svcs-Market Rsrch ",
"415","MPHASIS","Mphasis (Nse)","2267.50","-69.10","-2.96","45","58","32","B-","177","Computer-Tech Services  ",
"416","PFIZER","Pfizer (Nse)","4533.70","-5.60","-0.12","38","47","30","B-","67","Medical-Diversified     ",
"417","IRFC","Indian Railway Finance Corporation","99.51","-0.62","-0.62","43","55","30","B-","68","Finance-Investment Mgmt ",
"418","BBTC","The Bombay Burmah Trading","1537.60","10.20","0.67","47","35","30","B","73","Food-Misc Preparation   ",
"419","LODHA","Lodha Developers Limited","918.15","-5.85","-0.63","48","76","30","A","82","Real Estate Dvlpmt/Ops  ",
"420","BRIGADE","Brigade Enterprises(Nse)","545.45","-9.15","-1.65","42","61","30","B-","82","Real Estate Dvlpmt/Ops  ",
"421","GODIGIT","Go Digit General Insurance Ltd","305.95","4.70","1.56","45","93","30","B+","105","Insurance-Diversified   ",
"422","SUNTV","Sun Tv Network (Nse)","520.85","-1.05","-0.20","53","74","30","B-","108","Media-Radio/Tv          ",
"423","GILLETTE","Gillette India (Nse)","7828.50","-11.50","-0.15","44","68","30","A-","118","Cosmetics/Personal Care ",
"424","DABUR","Dabur India","423.50","-5.20","-1.21","44","56","30","B-","118","Cosmetics/Personal Care ",
"425","BLS","Bls International Ser.","267.45","0.60","0.22","48","94","30","B","144","Comml Svcs-Outsourcing  ",
"426","DEVYANI","Devyani International","116.91","1.63","1.41","39","14","30","A-","152","Retail-Restaurants      ",
"427","BRITANNIA","Britannia Inds.","5195.00","-50.00","-0.95","46","71","30","E","155","Food-Grain & Related    ",
"428","RELIANCE","Reliance Industries","1309.50","-18.60","-1.40","39","51","30","D","160","Oil&Gas-Integrated      ",
"429","PERSISTENT","Persistent Systems","4829.00","-111.50","-2.26","46","87","30","D+","177","Computer-Tech Services  ",
"430","RHIM","Rhi Magnesita India","381.95","11.10","2.99","41","19","28","C+","62","Bldg-Constr Prds/Misc   ",
"431","GLAXO","Glaxosmithkline Pharms.","2332.00","65.80","2.90","45","52","28","B","67","Medical-Diversified     ",
"432","SUPREMEIND","Supreme Industries","3525.50","1.00","0.03","55","56","28","C+","76","Chemicals-Plastics      ",
"433","TECHNOE","Techno Elec.& Engr.Co.","1079.30","7.10","0.66","46","68","28","C+","91","Bldg-Heavy Construction ",
"434","AFCONS","Afcons Infrastructure Ltd","313.45","-5.70","-1.79","38","26","28","B","91","Bldg-Heavy Construction ",
"435","GODREJCP","Godrej Csm.Products(Nse)","1000.60","-8.60","-0.85","45","27","28","D-","118","Cosmetics/Personal Care ",
"436","JIOFIN","Jio Financial Services Ltd","244.45","0.35","0.14","40","70","28","C+","134","Finance-Invest Bnk/Bkrs ",
"437","RAMCOCEM","The Ramco Cements","885.30","-5.05","-0.57","49","75","28","C-","140","Bldg-Cement/Concrt/Ag   ",
"438","INTELLECT","Intellect Design Arena","746.70","-10.60","-1.40","44","36","26","B+","47","Financial Svcs-Specialty",
"439","HDFCBANK","Hdfc Bank","779.80","-19.20","-2.40","40","66","26","D-","121","Banks-Money Center      ",
"440","BHARTIHEXA","Bharti Hexacom Ltd","1494.50","56.70","3.94","41","66","26","B","162","Telecom Svcs-Cable/Satl ",
"441","CLEAN","Clean Science And Technology","782.15","0.45","0.06","42","40","24","A+","44","Chemicals-Specialty     ",
"442","COHANCE","Cohance Lifesciences Ltd","405.85","-7.95","-1.92","33","18","24","B","60","Medical-Generic Drugs   ",
"443","KFINTECH","Kfin Technologies","915.35","8.50","0.94","45","70","24","A-","68","Finance-Investment Mgmt ",
"444","LEMONTREE","Lemon Tree Hotels","113.04","1.18","1.05","40","77","24","B","126","Leisure-Lodging         ",
"445","BAYERCROP","Bayer Cropscience","4269.50","0.80","0.02","40","70","24","D+","128","Chemicals-Agricultural  ",
"446","SAPPHIRE","Sapphire Foods India","187.87","3.05","1.65","34","6","24","B+","152","Retail-Restaurants      ",
"447","LTTS","L&T Technology Services","3331.20","-76.60","-2.25","41","55","24","B-","177","Computer-Tech Services  ",
"448","ABFRL","Aditya Fash.& Retail","60.64","-0.90","-1.46","31","1","23","A-","45","Retail-Department Stores",
"449","UTIAMC","Uti Asset Management Company","950.25","-7.75","-0.81","38","30","23","B-","68","Finance-Investment Mgmt ",
"450","KALYANKJIL","Kalyan Jewellers India","383.50","0.55","0.14","55","97","23","B","77","Retail/Whlsle-Jewelry   ",
"451","EMAMILTD","Emami","413.50","13.15","3.28","38","53","23","B-","118","Cosmetics/Personal Care ",
"452","AMBUJACEM","Ambuja Cements","423.95","-6.05","-1.41","50","53","23","C-","140","Bldg-Cement/Concrt/Ag   ",
"453","LATENTVIEW","Latent View Analytics","299.15","-10.15","-3.28","40","65","23","B+","177","Computer-Tech Services  ",
"454","BATAINDIA","Bata India","747.70","-42.20","-5.34","41","40","21","C+","127","Apparel-Shoes & Rel Mfg ",
"455","DALBHARAT","Dalmia Bharat","1717.20","-8.50","-0.49","43","53","21","B-","140","Bldg-Cement/Concrt/Ag   ",
"456","FSL","Firstsource Solutions","244.70","4.70","1.96","39","59","21","B","144","Comml Svcs-Outsourcing  ",
"457","ESCORTS","Escorts Kubota","2821.20","11.50","0.41","45","62","21","D","169","Machinery-Farm          ",
"458","JYOTICNC","Jyoti Cnc Automation Ltd","737.95","37.30","5.32","50","24","19","A","18","Machinery-Gen Industrial",
"459","ABLBL","Aditya Birla Lifestyle Brands Ltd","97.18","-2.13","-2.14","52","81","19","D+","71","Apparel-Clothing Mfg    ",
