Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,Industry_Group
"53","VTL","Vardhman Textiles","657.45","-3.95","-0.60","64","28","88","A+","71","Apparel-Clothing Mfg    ",
"54","PIRAMALFIN","Piramal Finance Ltd","2153.10","154.70","7.74","60","81","88","A-","111","Finance-Consumer Loans  ",
"55","FINCABLES","Finolex Cables","1164.30","5.70","0.49","66","66","87","A-","11","Electrical-Power/Equipmt",
"56","LLOYDSME","Lloyds Metals & Energy","1766.20","10.00","0.57","79","98","87","A+","33","Steel-Producers         ",
"57","DEEPAKFERT","Deepak Fert.& Petrochem.","1563.30","37.60","2.46","56","27","87","A","44","Chemicals-Specialty     ",
"58","GABRIEL","Gabriel India","1197.40","55.50","4.86","64","76","87","A","49","Auto/Truck-Original Eqp ",
"59","ANANDRATHI","Anand Rathi Wealth","1867.50","62.20","3.45","71","92","87","A-","68","Finance-Investment Mgmt ",
"60","NUVAMA","Nuvama Wealth Management Ltd","1739.60","19.20","1.12","67","82","87","B","68","Finance-Investment Mgmt ",
"61","GROWW","Billionbrains Garage Ventures Ltd","199.87","-0.67","-0.33","63","40","87","B+","68","Finance-Investment Mgmt ",
"62","ABDL","Allied Blenders And Distillers Ltd","631.25","-1.55","-0.24","61","28","87","A","117","Beverages-Alcoholic     ",
"63","RBLBANK","RBL Bank","378.85","9.60","2.60","75","83","87","A+","121","Banks-Money Center      ",
"64","FEDERALBNK","Federal Bank","323.95","3.50","1.09","66","77","87","B-","121","Banks-Money Center      ",
"65","TRITURBINE","Triveni Turbine","672.30","-1.85","-0.27","60","60","86","A+","5","Elec-Misc Products      ",
"66","ENRIN","Siemens Energy India Ltd","3833.90","50.50","1.33","76","26","86","A+","21","Energy-Alternative/Other",
"67","JINDALSAW","Jindal Saw (Nse)","260.88","-3.18","-1.20","57","47","86","A-","33","Steel-Producers         ",
"68","SOLARINDS","Solar Industries Ida.","18052.00","288.00","1.62","81","94","86","A-","44","Chemicals-Specialty     ",
"69","SAILIFE","Sai Life Sciences Ltd","1216.40","9.60","0.80","72","93","86","A-","46","Medical-Biomed/Biotech  ",
"70","MOTHERSON","Samvardhana Motherson International","145.54","0.86","0.59","70","68","86","A-","49","Auto/Truck-Original Eqp ",
"71","ASTERDM","Aster Dm Healthcare","809.40","20.90","2.65","73","61","86","A","56","Medical-Hospitals       ",
"72","ACMESOLAR","Acme Solar Holdings Ltd","337.65","5.75","1.73","68","68","86","A","58","Energy-Solar            ",
"73","CAPLIPOINT","Caplin Point Labs.","2503.50","144.10","6.11","70","83","86","A+","60","Medical-Generic Drugs   ",
"74","ZENTEC","Zen Technologies","1997.00","67.60","3.50","58","74","86","A+","63","Aerospace/Defense       ",
"75","WELSPUNLIV","Welspun Living Ltd","162.23","-0.77","-0.47","53","18","86","B+","71","Apparel-Clothing Mfg    ",
